COD_INMUEBLE,NOM_SUCURSAL,NOM_BARRIO,NOM_CIUDAD,ESTRATO,TIPO_INMUEBLE,AREA,VLR_CANON,VLR_ADMINISTRACION,FECHA_CONSIGNACION,FECHA_RECONSIGNACION,FECHA_CONTRATO,COD_ESTADO_CONTRATO
930,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,29,2977480,0,29042013,,02082013,INACTIVO
931,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,31,2679500,0,29042013,,17022018,INACTIVO
932,BUCARAMANGA,LA FLORESTA,BUCARAMANGA,CINCO,APARTAMENTO,38,2500000,0,29042013,,21062013,INACTIVO
933,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,CASA,44,891850,207000,21042017,,22062017,INACTIVO
934,BUCARAMANGA,SAN ALONSO,BUCARAMANGA,CUATRO,LOCAL,25,815520,207000,21042017,,30072013,INACTIVO
935,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,CINCO,APARTAMENTO,23,1121090,325000,29062013,,24012015,INACTIVO
936,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,CINCO,CASA,43,1121340,325000,29062013,,11092013,INACTIVO
937,BUCARAMANGA,SOTOMAYOR,BUCARAMANGA,CINCO,APARTAMENTO,77,1322740,325000,29062013,,01092016,VIGENTE
938,BUCARAMANGA,FONTANA,BUCARAMANGA,CUATRO,APARTAMENTO,32,960150,0,28122012,,06022013,VIGENTE
939,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,CASA,69,700000,0,28122012,,07022020,VIGENTE
940,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,LOCAL,24,680000,0,28122012,,12012019,INACTIVO
941,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,CASA,62,662610,0,28122012,,26012013,INACTIVO
942,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,CASA,54,846820,0,28122012,,30052015,INACTIVO
943,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,LOCAL,24,725620,0,28122012,,27032014,INACTIVO
944,BUCARAMANGA,LA SALLE,BUCARAMANGA,CUATRO,APARTAMENTO,60,645360,0,28122012,,30112017,INACTIVO
945,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,27,846180,245000,11012013,,09022013,INACTIVO
946,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,10,792530,245000,11012013,,09022013,INACTIVO
947,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,APARTAMENTO,49,863970,245000,11012013,,29112017,VIGENTE
948,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,LOCAL,14,1056710,194000,09032013,04092019,02042013,INACTIVO
949,BUCARAMANGA,MEJORAS PUBLICAS,BUCARAMANGA,CUATRO,LOCAL,28,1089900,194000,09032013,04092019,26092019,VIGENTE
950,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,16,900000,0,14032013,,14032020,VIGENTE
951,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,LOCAL,22,900000,0,14032013,,17022018,INACTIVO
952,BUCARAMANGA,PROVENZA,BUCARAMANGA,CUATRO,CASA,87,954500,0,14032013,,01062013,INACTIVO
953,BUCARAMANGA,CENTRO,BUCARAMANGA,COMERCIAL,CASA,64,2233030,0,15032013,,03032014,VIGENTE
